round,scenario,container,role,cpu_ms,cpu_ms_per_request,throttled_periods_percent,throttled_ms
round_07,scenario_5_mesh,service-a-566b9cc9dc-z24jk/service-a,checkout_app,120088.706,5.324733117545338,100.0,278747.958
round_07,scenario_5_mesh,service-b-b9d464c6d-hp7rp/istio-proxy,inventory_sidecar,12641.364,0.5605180685496386,0.0,0.0
round_07,scenario_5_mesh,service-b-b9d464c6d-hp7rp/service-b,inventory_app,20328.771,0.9013776881124462,0.0,0.0
round_08,scenario_1,scenario_1-service_a-1,checkout_app,119841.254,2.4878298976562663,100.0,288125.394
round_08,scenario_1,scenario_1-service_b-1,inventory_app,54896.713,1.1396216188163004,13.643926788685524,5464.729
round_08,scenario_2,scenario_2-service_a-1,checkout_app,120009.639,5.357573169642857,100.0,295364.789
round_08,scenario_2,scenario_2-service_b-1,inventory_app,35986.893,1.6065577232142856,8.720930232558139,3275.831
round_08,scenario_3,scenario_3-service_a-1,checkout_app,119886.305,2.717462769453952,100.0,293974.662
round_08,scenario_3,scenario_3-service_b-1,inventory_app,46925.24,1.0636543735974793,3.9068994181213634,1013.918
round_08,scenario_4,scenario_4-service_a-1,checkout_app,119873.604,5.591641197872936,100.0,286714.341
round_08,scenario_4,scenario_4-service_b-1,inventory_app,29990.107,1.3989228006343875,1.8272425249169435,298.783
round_08,scenario_5_k8s_baseline,service-a-79689f88cb-k74nn/service-a,checkout_app,119551.182,2.530826495617935,99.91687448046551,178413.173
round_08,scenario_5_k8s_baseline,service-b-b9d464c6d-442cq/service-b,inventory_app,41002.712,0.8680027096828824,0.0,0.0
round_08,scenario_5_mesh,service-a-566b9cc9dc-4wx4h/istio-proxy,checkout_sidecar,18445.75,0.818465190575498,0.0,0.0
round_08,scenario_5_mesh,service-a-566b9cc9dc-4wx4h/service-a,checkout_app,120084.376,5.328321249500821,100.0,272293.517
round_08,scenario_5_mesh,service-b-b9d464c6d-g8mrp/istio-proxy,inventory_sidecar,12664.49,0.5619421395926698,0.0,0.0
round_08,scenario_5_mesh,service-b-b9d464c6d-g8mrp/service-b,inventory_app,20348.841,0.9029081510405111,0.0,0.0
round_09,scenario_1,scenario_1-service_a-1,checkout_app,120025.815,2.4720576483430476,100.0,291240.689
round_09,scenario_1,scenario_1-service_b-1,inventory_app,54344.179,1.1192754103762899,13.704318936877076,5290.977
round_09,scenario_2,scenario_2-service_a-1,checkout_app,120034.458,5.368027279638657,100.0,302128.355
round_09,scenario_2,scenario_2-service_b-1,inventory_app,36298.158,1.623279728098028,8.887043189368772,4250.305
round_09,scenario_3,scenario_3-service_a-1,checkout_app,119856.35,2.742645477220201,100.0,284827.809
round_09,scenario_3,scenario_3-service_b-1,inventory_app,46971.659,1.0748417427518822,3.9101497504159735,1412.476
round_09,scenario_4,scenario_4-service_a-1,checkout_app,119954.681,5.588645219903094,100.0,289860.164
round_09,scenario_4,scenario_4-service_b-1,inventory_app,29971.645,1.3963681047335073,1.744186046511628,503.606
round_09,scenario_5_k8s_baseline,service-a-79689f88cb-lv2q9/service-a,checkout_app,119552.272,2.5252898483376285,100.0,216181.091
round_09,scenario_5_k8s_baseline,service-b-b9d464c6d-46gkr/service-b,inventory_app,41931.378,0.8857120104769549,0.0,0.0
round_09,scenario_5_mesh,service-a-566b9cc9dc-bldb2/istio-proxy,checkout_sidecar,18485.099,0.8203203603443684,0.0,0.0
round_09,scenario_5_mesh,service-a-566b9cc9dc-bldb2/service-a,checkout_app,120083.729,5.329001908227568,100.0,275263.6
round_09,scenario_5_mesh,service-b-b9d464c6d-xbkbk/istio-proxy,inventory_sidecar,12575.673,0.5580754859323689,0.0,0.0
round_09,scenario_5_mesh,service-b-b9d464c6d-xbkbk/service-b,inventory_app,20355.329,0.9033162776249224,0.0,0.0
round_10,scenario_1,scenario_1-service_a-1,checkout_app,120332.588,2.4955947571446346,100.0,282437.999
round_10,scenario_1,scenario_1-service_b-1,inventory_app,54195.407,1.1239662988925296,12.582781456953642,10760.661
round_10,scenario_2,scenario_2-service_a-1,checkout_app,119937.445,5.35530652795142,100.0,301275.421
round_10,scenario_2,scenario_2-service_b-1,inventory_app,36385.919,1.6246615020539383,8.894430590191188,3835.754
round_10,scenario_3,scenario_3-service_a-1,checkout_app,119997.072,2.7473744075829383,100.0,294137.276
round_10,scenario_3,scenario_3-service_b-1,inventory_app,46639.476,1.0678269111889553,3.5714285714285716,954.809
round_10,scenario_4,scenario_4-service_a-1,checkout_app,119884.228,5.611769320788279,100.0,291860.794
round_10,scenario_4,scenario_4-service_b-1,inventory_app,30058.175,1.4070203154987595,1.828761429758936,554.756
round_10,scenario_5_k8s_baseline,service-a-79689f88cb-pspsn/service-a,checkout_app,119474.085,2.5438420346633737,99.91687448046551,111934.032
round_10,scenario_5_k8s_baseline,service-b-b9d464c6d-7wnvr/service-b,inventory_app,40854.482,0.8698735681131031,0.0,0.0
round_10,scenario_5_mesh,service-a-566b9cc9dc-rcpr9/istio-proxy,checkout_sidecar,18446.2,0.8169626644226937,0.0,0.0
round_10,scenario_5_mesh,service-a-566b9cc9dc-rcpr9/service-a,checkout_app,120036.631,5.316295274369989,100.0,281527.229
round_10,scenario_5_mesh,service-b-b9d464c6d-8mb5k/istio-proxy,inventory_sidecar,12679.533,0.5615630895965277,0.0,0.0
round_10,scenario_5_mesh,service-b-b9d464c6d-8mb5k/service-b,inventory_app,20370.741,0.9021985473227336,0.0,0.0
